,champion,gameId,lane,platformId,queue,role,season,timestamp
0,875,4771375338,NONE,KR,420,DUO_SUPPORT,13,1604844366180
1,875,4770146326,TOP,KR,420,DUO,13,1604818960847
2,875,4767376134,NONE,KR,420,DUO_SUPPORT,13,1604733123324
3,246,4767361959,MID,KR,420,SOLO,13,1604729191092
4,202,4761504494,NONE,KR,420,DUO_SUPPORT,13,1604485121523
5,202,4761429331,BOTTOM,KR,420,DUO_CARRY,13,1604483095631
6,22,4761425917,NONE,KR,420,DUO,13,1604481737930
7,202,4761370458,BOTTOM,KR,420,DUO_CARRY,13,1604479293951
8,202,4761316948,NONE,KR,420,DUO_SUPPORT,13,1604477971654
9,202,4761361097,BOTTOM,KR,420,SOLO,13,1604475582325
10,81,4761255937,BOTTOM,KR,420,DUO_CARRY,13,1604473405063
11,22,4761171593,BOTTOM,KR,420,SOLO,13,1604471308442
12,202,4761074013,BOTTOM,KR,420,DUO_CARRY,13,1604467246051
13,89,4760490641,BOTTOM,KR,420,DUO_SUPPORT,13,1604427668553
14,432,4760299882,NONE,KR,420,DUO_SUPPORT,13,1604426048251
15,432,4758423479,BOTTOM,KR,420,DUO_SUPPORT,13,1604331967870
16,147,4758094884,NONE,KR,830,DUO,13,1604322671844
17,147,4758092542,NONE,KR,830,DUO,13,1604322082555
18,147,4758100020,NONE,KR,830,DUO,13,1604321415956
19,102,4756894285,NONE,KR,830,DUO,13,1604283554399
20,147,4756883588,NONE,KR,830,DUO,13,1604282883687
21,147,4756892900,NONE,KR,830,DUO,13,1604282275751
22,147,4756882373,NONE,KR,830,DUO,13,1604281713887
23,429,4756940735,NONE,KR,830,DUO_SUPPORT,13,1604280880392
24,51,4756880714,NONE,KR,830,DUO_SUPPORT,13,1604279963462
25,115,4756819434,NONE,KR,830,DUO_SUPPORT,13,1604278985413
26,145,4756818142,TOP,KR,900,DUO_SUPPORT,13,1604277380395
27,223,4756807429,TOP,KR,450,DUO,13,1604275789839
28,98,4756456181,NONE,KR,830,DUO,13,1604241030628
29,51,4756412999,NONE,KR,840,DUO_SUPPORT,13,1604240001252
30,202,4756309129,NONE,KR,840,DUO_SUPPORT,13,1604238929325
31,429,4756294333,NONE,KR,840,DUO_SUPPORT,13,1604237682145
32,18,4756208611,NONE,KR,840,DUO,13,1604236389891
33,68,4756183581,NONE,KR,900,DUO_SUPPORT,13,1604235248284
34,25,4756137105,NONE,KR,900,DUO_SUPPORT,13,1604233887846
35,145,4756123600,NONE,KR,900,DUO,13,1604233115307
36,126,4755966224,MID,KR,900,SOLO,13,1604231399780
37,103,4756002287,NONE,KR,900,DUO,13,1604230616833
38,112,4755648478,NONE,KR,450,DUO,13,1604229532591
39,74,4755333717,NONE,KR,830,DUO,13,1604220369490
40,74,4755340891,NONE,KR,830,DUO,13,1604219647872
41,74,4755238509,NONE,KR,830,DUO,13,1604219012943
42,131,4755202811,NONE,KR,900,DUO,13,1604217500210
43,62,4755127246,NONE,KR,450,DUO_SUPPORT,13,1604216126065
44,16,4755103827,NONE,KR,830,DUO,13,1604215200026
45,16,4755141420,NONE,KR,830,DUO,13,1604214659328
46,16,4755058884,NONE,KR,830,DUO,13,1604214080013
47,76,4755046075,NONE,KR,830,DUO,13,1604213303671
48,147,4755052705,NONE,KR,830,DUO_SUPPORT,13,1604212425164
49,147,4755050350,NONE,KR,830,DUO,13,1604211824416
50,429,4754947955,NONE,KR,830,DUO,13,1604211135472
51,16,4754876845,NONE,KR,830,DUO,13,1604210524203
52,104,4754912827,NONE,KR,830,DUO_SUPPORT,13,1604209568681
53,5,4754799729,NONE,KR,850,DUO_SUPPORT,13,1604208535961
54,84,4754845350,NONE,KR,840,DUO_SUPPORT,13,1604207383736
55,236,4754861991,NONE,KR,830,DUO_SUPPORT,13,1604206394461
56,122,4754830146,NONE,KR,830,DUO,13,1604205643728
57,22,4754092441,NONE,KR,840,DUO_SUPPORT,13,1604171462035
58,360,4754100908,NONE,KR,850,DUO_SUPPORT,13,1604170387080
59,76,4754008339,JUNGLE,KR,850,NONE,13,1604168777696
60,103,4754027025,NONE,KR,830,DUO,13,1604168202742
61,51,4754025864,NONE,KR,830,DUO,13,1604167546089
62,523,4754054444,NONE,KR,830,DUO,13,1604166784037
63,429,4753973767,NONE,KR,830,DUO,13,1604166044415
64,145,4753939762,NONE,KR,830,DUO_SUPPORT,13,1604164670973
65,145,4753888809,NONE,KR,830,DUO,13,1604163997239
66,147,4753719666,NONE,KR,840,DUO_SUPPORT,13,1604158192077
67,147,4753765663,NONE,KR,840,DUO_SUPPORT,13,1604157274083
68,147,4753751268,NONE,KR,850,DUO_SUPPORT,13,1604156123905
69,8,4748321413,NONE,KR,450,DUO_SUPPORT,13,1603966257217
70,875,4748198178,NONE,KR,450,DUO_SUPPORT,13,1603964946531
71,63,4748244682,NONE,KR,450,DUO_SUPPORT,13,1603963637861
72,516,4747583096,NONE,KR,450,DUO_SUPPORT,13,1603913482441
73,89,4747572140,NONE,KR,450,DUO_SUPPORT,13,1603912080644
74,103,4745139322,NONE,KR,900,DUO_SUPPORT,13,1603807629218
75,145,4745076580,NONE,KR,900,DUO_SUPPORT,13,1603806451103
76,203,4745028056,TOP,KR,450,DUO,13,1603804540649
77,55,4744983606,TOP,KR,450,DUO_SUPPORT,13,1603803127648
78,2,4744790545,JUNGLE,KR,450,NONE,13,1603797010132
79,110,4744715772,NONE,KR,450,DUO,13,1603796253817
80,350,4744644715,NONE,KR,450,DUO_SUPPORT,13,1603795122747
81,10,4744642101,NONE,KR,450,DUO_SUPPORT,13,1603794213535
82,245,4744456049,NONE,KR,450,DUO_SUPPORT,13,1603792923385
83,62,4744403275,TOP,KR,450,DUO_SUPPORT,13,1603791200165
84,56,4743558375,NONE,KR,450,DUO_SUPPORT,13,1603729176773
85,110,4743507857,NONE,KR,450,DUO_SUPPORT,13,1603727847592
86,25,4743515021,NONE,KR,450,DUO_SUPPORT,13,1603726822916
87,154,4743493205,NONE,KR,450,DUO_SUPPORT,13,1603725783308
88,18,4743457311,NONE,KR,900,DUO_SUPPORT,13,1603724590385
89,145,4743385168,JUNGLE,KR,900,NONE,13,1603722926164
90,875,4743361284,TOP,KR,900,DUO,13,1603721362676
91,141,4743314918,NONE,KR,900,DUO_SUPPORT,13,1603720282158
92,12,4743262190,NONE,KR,900,DUO_SUPPORT,13,1603718875229
93,68,4742956865,MID,KR,450,SOLO,13,1603715278947
94,120,4743020969,NONE,KR,900,DUO_SUPPORT,13,1603714069895
95,18,4742747680,NONE,KR,900,DUO_SUPPORT,13,1603712873488
96,238,4742820752,NONE,KR,900,DUO_SUPPORT,13,1603711709120
97,120,4742578722,JUNGLE,KR,900,NONE,13,1603710249913
98,145,4742613728,NONE,KR,900,DUO_SUPPORT,13,1603708971814
99,134,4742572222,NONE,KR,900,DUO,13,1603708071480
0,517,4765750895,TOP,KR,450,DUO,13,1604664373519
1,106,4764768787,NONE,KR,420,DUO_SUPPORT,13,1604641700269
2,80,4764756509,NONE,KR,420,DUO_SUPPORT,13,1604640376042
3,80,4764762986,BOTTOM,KR,420,DUO_SUPPORT,13,1604638330940
4,106,4764670292,BOTTOM,KR,420,DUO_SUPPORT,13,1604636235640
5,80,4763457627,BOTTOM,KR,420,DUO_SUPPORT,13,1604576100848
6,44,4763308443,NONE,KR,420,DUO_SUPPORT,13,1604573034002
7,106,4763324173,BOTTOM,KR,420,DUO_SUPPORT,13,1604571487337
8,106,4762983592,BOTTOM,KR,420,DUO_SUPPORT,13,1604557921668
9,147,4762874879,BOTTOM,KR,420,DUO_SUPPORT,13,1604552959854
10,12,4762940423,BOTTOM,KR,420,DUO_SUPPORT,13,1604550249897
11,145,4761683160,MID,KR,450,DUO,13,1604490930970
12,106,4761606002,BOTTOM,KR,420,DUO_SUPPORT,13,1604489066870
13,147,4761528993,TOP,KR,420,SOLO,13,1604486817312
14,12,4761181869,NONE,KR,420,DUO_SUPPORT,13,1604471462604
15,12,4761088580,NONE,KR,420,DUO_SUPPORT,13,1604469832493
16,98,4761074021,BOTTOM,KR,420,SOLO,13,1604467332941
17,106,4761038310,BOTTOM,KR,420,DUO_SUPPORT,13,1604463818846
18,875,4759675677,MID,KR,450,DUO_SUPPORT,13,1604403558556
19,360,4759700010,BOTTOM,KR,420,DUO_CARRY,13,1604402165264
20,202,4759591118,BOTTOM,KR,420,DUO_CARRY,13,1604399218859
21,53,4759108004,BOTTOM,KR,420,DUO_SUPPORT,13,1604385200550
22,497,4759152247,BOTTOM,KR,420,DUO_SUPPORT,13,1604382446104
23,106,4758807711,BOTTOM,KR,420,DUO_SUPPORT,13,1604379105185
24,147,4758824201,BOTTOM,KR,420,SOLO,13,1604377005604
25,80,4758080001,BOTTOM,KR,420,DUO_SUPPORT,13,1604321575669
26,236,4757974372,NONE,KR,420,DUO_SUPPORT,13,1604320020211
27,147,4757905994,BOTTOM,KR,420,DUO_SUPPORT,13,1604317852092
28,12,4757778884,MID,KR,420,SOLO,13,1604315700838
29,147,4757174733,BOTTOM,KR,420,DUO_SUPPORT,13,1604298135833
30,147,4757081255,BOTTOM,KR,420,DUO_SUPPORT,13,1604295749888
31,147,4756988187,NONE,KR,420,DUO_SUPPORT,13,1604293984170
32,12,4756994812,BOTTOM,KR,420,SOLO,13,1604291836301
33,84,4756710210,MID,KR,430,DUO,13,1604250550846
34,84,4756636303,NONE,KR,430,DUO,13,1604248450317
35,147,4754087363,BOTTOM,KR,430,DUO_SUPPORT,13,1604177683239
36,147,4754155454,BOTTOM,KR,430,SOLO,13,1604175824456
37,147,4754154269,BOTTOM,KR,430,DUO_SUPPORT,13,1604174319867
38,147,4754143625,NONE,KR,430,DUO,13,1604173621821
39,147,4754122024,BOTTOM,KR,430,DUO_SUPPORT,13,1604171579834
40,147,4751806048,BOTTOM,KR,430,DUO_SUPPORT,13,1604087139027
41,147,4751784735,NONE,KR,430,DUO_SUPPORT,13,1604085494810
42,145,4751131561,NONE,KR,430,DUO,13,1604068314078
43,44,4749891024,BOTTOM,KR,420,DUO,13,1604041112629
44,147,4749854270,BOTTOM,KR,420,DUO_SUPPORT,13,1604038448923
45,147,4749820250,BOTTOM,KR,420,DUO_SUPPORT,13,1604036433966
46,80,4749685704,BOTTOM,KR,420,DUO_SUPPORT,13,1604033985915
47,98,4748403493,BOTTOM,KR,420,DUO_SUPPORT,13,1603970483781
48,12,4748308522,NONE,KR,420,DUO_SUPPORT,13,1603968870128
49,875,4747971123,NONE,KR,420,DUO_SUPPORT,13,1603953326657
50,202,4747927299,BOTTOM,KR,420,DUO_CARRY,13,1603951483775
51,80,4747903788,BOTTOM,KR,420,DUO_SUPPORT,13,1603949491733
52,106,4747880773,TOP,KR,420,DUO_SUPPORT,13,1603947673957
53,126,4747848400,NONE,KR,420,DUO_SUPPORT,13,1603946289387
54,236,4746793039,NONE,KR,420,DUO_SUPPORT,13,1603889722484
55,145,4746715172,BOTTOM,KR,420,DUO_CARRY,13,1603887491236
56,202,4746639520,NONE,KR,420,DUO,13,1603885896008
57,145,4744898705,BOTTOM,KR,420,DUO_CARRY,13,1603802013210
58,81,4744902255,NONE,KR,420,DUO_SUPPORT,13,1603800414140
59,80,4744773793,BOTTOM,KR,420,DUO_SUPPORT,13,1603797961431
60,523,4744648004,BOTTOM,KR,420,DUO_CARRY,13,1603796393332
61,875,4744429860,MID,KR,420,DUO_SUPPORT,13,1603793938371
62,89,4743999498,BOTTOM,KR,420,DUO_SUPPORT,13,1603778874730
63,89,4744043199,BOTTOM,KR,420,DUO_SUPPORT,13,1603776679165
64,89,4744012028,NONE,KR,420,DUO_SUPPORT,13,1603775264957
65,80,4743909285,MID,KR,420,DUO_SUPPORT,13,1603773166806
66,89,4743326798,BOTTOM,KR,420,DUO_SUPPORT,13,1603720912188
67,497,4743261985,BOTTOM,KR,420,DUO_SUPPORT,13,1603718928501
68,875,4743151683,MID,KR,420,DUO_SUPPORT,13,1603716675840
